'RemoteIP';'Time';'AAM.exe';'ConManClient2.exe';'DataServer.exe';'IQueue.exe';'MemEater.exe';'connmgr.exe';'cprog.exe';'device.exe';'filesys.exe';'gwes.exe';'pimg';'rapiclnt';'remote.exe';'repllog.exe';'services.exe';'shell32.exe';'tmail.exe'
169.254.2.1;130058452352970000;135168;212992;1744896;671744;0;344064;1130496;10403840;12398592;4620288;0;593920;2691072;651264;1085440;1847296;303104
169.254.2.1;130058452385180000;135168;212992;1744896;671744;0;344064;1130496;10403840;12398592;4620288;0;593920;2691072;651264;1085440;1847296;303104
169.254.2.1;130058452420110000;135168;212992;1744896;671744;0;344064;1130496;10403840;12398592;4620288;0;593920;2691072;651264;1085440;1847296;303104
169.254.2.1;130058452453290000;135168;212992;1744896;671744;0;344064;1130496;10403840;12398592;4620288;0;593920;2691072;651264;1085440;1847296;303104
169.254.2.1;130058452485560000;135168;212992;1744896;671744;0;344064;1130496;10403840;12398592;4620288;0;593920;2691072;651264;1085440;1847296;303104
169.254.2.1;130058452519680000;135168;212992;1744896;671744;0;344064;1130496;10403840;12398592;4620288;0;593920;2691072;651264;1085440;1847296;303104
169.254.2.1;130058452553140000;135168;212992;1744896;671744;0;344064;1130496;10403840;12398592;4620288;0;593920;2691072;651264;1085440;1847296;303104
169.254.2.1;130058452585670000;135168;212992;1744896;671744;0;344064;1130496;10403840;12398592;4620288;0;593920;2691072;651264;1085440;1847296;303104
169.254.2.1;130058452617990000;135168;212992;1744896;671744;0;344064;1130496;10403840;12398592;4620288;0;593920;2691072;651264;1085440;1847296;303104
169.254.2.1;130058453686350000;135168;212992;1744896;671744;0;348160;1130496;10403840;12398592;4620288;0;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058453718780000;135168;212992;1744896;671744;0;348160;1130496;10403840;12398592;4620288;0;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058453753850000;135168;212992;1744896;671744;0;348160;1130496;10403840;12398592;4620288;0;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058453786880000;135168;212992;1744896;671744;0;348160;1130496;10403840;12398592;4620288;0;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058453819090000;135168;212992;1744896;671744;0;348160;1130496;10403840;12398592;4620288;0;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058453851260000;135168;212992;1744896;671744;0;348160;1130496;10403840;12398592;4620288;0;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058453883470000;135168;212992;1744896;671744;0;348160;1130496;10403840;12398592;4620288;0;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058453915590000;135168;212992;1744896;671744;0;348160;1130496;10403840;12402688;4628480;368640;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058453946600000;135168;212992;1744896;671744;0;348160;1130496;10403840;12406784;4648960;11227136;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058453977750000;135168;212992;1744896;671744;0;348160;1130496;10403840;12406784;4648960;11227136;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454010610000;135168;212992;1744896;671744;0;348160;1130496;10403840;12406784;4648960;11227136;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454065600000;135168;212992;1744896;671744;0;348160;1130496;10403840;12410880;4648960;11976704;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454096620000;135168;212992;1744896;671744;0;348160;1130496;10403840;12410880;4648960;11304960;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454127560000;135168;212992;1744896;671744;0;348160;1130496;10403840;12410880;4648960;569344;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454159230000;135168;212992;1744896;671744;0;348160;1130496;10403840;12410880;4648960;569344;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454193490000;135168;212992;1744896;671744;0;348160;1130496;10403840;12410880;4648960;569344;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454226470000;135168;212992;1744896;671744;0;348160;1130496;10403840;12410880;4648960;569344;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454258620000;135168;212992;1744896;671744;0;348160;1130496;10403840;12410880;4648960;569344;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454290730000;135168;212992;1744896;671744;0;348160;1130496;10403840;12410880;4648960;569344;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454322870000;135168;212992;1744896;671744;0;348160;1130496;10403840;12410880;4648960;569344;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454355040000;135168;212992;1744896;671744;0;348160;1130496;10403840;12410880;4648960;569344;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454387250000;135168;212992;1744896;671744;0;348160;1130496;10403840;12410880;4648960;569344;315392;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454418900000;135168;212992;1744896;671744;0;348160;1130496;10403840;12410880;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454452370000;135168;212992;1744896;671744;0;348160;1130496;10403840;12410880;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454487090000;135168;212992;1744896;671744;421888;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454518050000;135168;212992;1744896;671744;1523712;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454551530000;135168;212992;1744896;671744;1523712;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454583490000;135168;212992;1744896;671744;2576384;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454616460000;135168;212992;1744896;671744;3629056;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454649210000;135168;212992;1744896;671744;3629056;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454680900000;135168;212992;1744896;671744;4681728;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454712290000;135168;212992;1744896;671744;5734400;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454744250000;135168;212992;1744896;671744;5734400;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454777030000;135168;212992;1744896;671744;6787072;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454808640000;135168;212992;1744896;671744;6787072;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454840420000;135168;212992;1744896;671744;7839744;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454872620000;135168;212992;1744896;671744;8892416;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454904730000;135168;212992;1744896;671744;8892416;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454936700000;135168;212992;1744896;671744;9945088;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058454968950000;135168;212992;1744896;671744;10997760;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455001280000;135168;212992;1744896;671744;10997760;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455033440000;135168;212992;1744896;671744;12050432;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455064350000;135168;212992;1744896;671744;13103104;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455097080000;135168;212992;1744896;671744;13103104;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455129420000;135168;212992;1744896;671744;14155776;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455162200000;135168;212992;1744896;671744;15208448;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455194170000;135168;212992;1744896;671744;15208448;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455226020000;135168;212992;1744896;671744;16261120;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455258240000;135168;212992;1744896;671744;16261120;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455290350000;135168;212992;1744896;671744;17317888;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455322710000;135168;212992;1744896;671744;18370560;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455355740000;135168;212992;1744896;671744;18370560;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455388070000;135168;212992;1744896;671744;19488768;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455419000000;135168;212992;1744896;671744;20541440;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455451160000;135168;212992;1744896;671744;20541440;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455483130000;135168;212992;1744896;671744;21594112;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455515470000;135168;212992;1744896;671744;22646784;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455547590000;135168;212992;1744896;671744;22646784;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455579570000;135168;212992;1744896;671744;23699456;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455612050000;135168;212992;1744896;671744;24752128;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455644120000;135168;212992;1744896;671744;24752128;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455675620000;135168;212992;1744896;671744;25804800;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455708030000;135168;212992;1744896;671744;25804800;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455740110000;135168;212992;1744896;671744;25804800;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455773230000;135168;212992;1744896;671744;25804800;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455804680000;135168;212992;1744896;671744;0;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455837490000;135168;212992;1744896;671744;0;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
169.254.2.1;130058455870560000;135168;212992;1744896;671744;0;348160;1130496;10403840;12414976;4648960;569344;319488;2691072;651264;1085440;1847296;303104
